N,P,K,temperature,humidity,ph,rainfall,label
89,45,43,27.41,81.03,6.31,283.38,rice
95,43,43,22.44,79.87,6.5,178.6,rice
45,42,33,24.39,77.66,5.84,279.97,rice
75,47,31,22.24,82.75,5.94,247.27,rice
67,44,36,28.23,82.13,5.98,260.68,rice
55,48,28,20.28,83.18,6.7,241.14,rice
77,44,31,21.8,79.9,6.82,246.31,rice
44,49,37,21.91,85.26,6.81,263.94,rice
63,44,41,26.04,79.8,6.33,202.81,rice
56,53,48,23.42,87.22,6.54,216.65,rice
87,59,39,27.51,69.1,6.73,238.61,rice
74,47,28,23.05,83.99,6.99,220.45,rice
63,42,45,24.42,79.55,6.61,238.91,rice
99,41,38,22.62,74.88,6.52,243.83,rice
80,45,31,22.55,80.49,6.08,231.16,rice
88,62,41,24.24,81.83,5.63,235.2,rice
81,66,38,24.35,82.03,5.93,270.28,rice
95,53,34,27.11,75.19,6.63,301.71,rice
60,42,40,22.34,74.45,6.43,204.13,rice
89,39,49,21.64,80.59,6.73,199.07,rice
84,57,30,24.06,83.5,6.71,198.89,rice
53,51,41,24.23,83.93,6.13,242.97,rice
85,41,51,24.78,76.24,6.66,206.76,rice
95,56,35,26.01,84.26,6.73,292.9,rice
75,40,34,21.56,81.81,6.54,244.3,rice
96,47,48,22.94,95.8,6.65,210.29,rice
58,50,38,25.39,84.57,6.37,210.6,rice
49,43,45,24.14,75.97,6.47,247.56,rice
62,48,40,20.74,83.99,6.62,268.49,rice
101,35,34,24.89,84.77,6.61,351.58,rice
91,56,45,25.23,80.62,6.7,212.82,rice
75,43,40,29.39,72.86,6.67,187.62,rice
70,55,40,20.91,78.62,6.67,214.09,rice
84,47,36,28.96,85.37,5.59,241.59,rice
66,53,35,23.31,84.72,6.75,199.99,rice
73,43,36,28.01,84.22,5.9,263.54,rice
122,55,30,22.39,88.53,6.12,249.31,rice
95,39,39,15.5,77.08,6.3,198.57,rice
112,35,37,23.93,89.41,5.83,270.89,rice
80,39,42,24.1,79.2,6.43,224.44,rice
82,52,49,20.51,92.87,5.62,231.45,rice
91,49,36,23.08,79.73,6.16,261.49,rice
87,41,45,24.37,86.26,6.65,211.13,rice
68,52,43,23.55,82.79,6.91,218.25,rice
90,45,38,26.35,86.33,6.73,275.16,rice
80,52,38,24.41,81.55,6.44,253.85,rice
63,63,33,20.56,87.99,6.72,254.72,rice
92,46,34,23.79,78.81,6.79,231.59,rice
63,44,42,22.19,78.09,6.5,243.35,rice
69,43,41,19.98,75.16,6.11,229.6,rice
86,58,45,23.2,82.1,6.0,235.44,rice
74,49,35,24.9,89.86,6.36,248.05,rice
93,43,41,23.63,82.69,6.09,236.74,rice
89,58,45,28.98,78.36,6.75,241.5,rice
123,40,34,22.1,71.58,6.19,213.23,rice
83,49,51,25.98,79.32,6.04,250.76,rice
53,61,47,22.43,73.63,6.94,232.56,rice
104,34,36,23.61,82.43,6.22,254.69,rice
58,45,40,24.89,85.76,5.95,189.98,rice
105,49,35,27.48,82.78,6.87,238.03,rice
121,61,38,26.03,85.43,6.95,207.05,rice
93,55,29,20.64,72.0,6.29,257.53,rice
110,47,49,20.15,73.68,6.38,247.52,rice
79,30,39,20.34,85.55,6.55,207.8,rice
69,38,39,25.99,77.27,6.6,220.09,rice
64,46,33,22.22,76.21,7.19,237.06,rice
66,48,39,23.05,85.27,6.7,220.08,rice
68,44,26,19.81,89.03,7.06,228.53,rice
91,49,58,26.4,81.56,6.02,187.81,rice
84,40,31,21.98,76.79,7.07,262.45,rice
